start,end,paper,dataname,method,n_samples,n_neighbors,1-NN,Trustworthiness,Continuity
,,comparative,orl,le,2000,12,0.29,0.963,0.976
,,comparative,orl,le,2000,13,0.263,0.962,0.975
,,comparative,orl,le,2000,7,0.215,0.975,0.986
,,comparative,orl,le,2000,9,0.235,0.967,0.979
,,comparative,orl,le,2000,15,0.268,0.961,0.973
,,comparative,orl,le,2000,8,0.203,0.97,0.983
,,comparative,orl,le,2000,5,0.133,0.982,0.992
,,comparative,orl,le,2000,10,0.235,0.967,0.978
,,comparative,difficult,isomap,2000,5,0.409,0.976,0.991
,,comparative,difficult,isomap,2000,6,0.401,0.973,0.991
,,comparative,difficult,isomap,2000,7,0.39,0.972,0.99
,,comparative,difficult,isomap,2000,8,0.404,0.973,0.99
,,comparative,difficult,isomap,2000,9,0.378,0.972,0.989
,,comparative,difficult,isomap,2000,10,0.378,0.971,0.989
,,comparative,difficult,isomap,2000,12,0.414,0.982,0.988
,,comparative,difficult,isomap,2000,11,0.377,0.971,0.989
,,comparative,difficult,isomap,2000,13,0.401,0.984,0.993
,,comparative,difficult,isomap,2000,14,0.397,0.987,0.994
,,comparative,difficult,isomap,2000,15,0.395,0.987,0.994
,,comparative,difficult,isomap,2000,5,0.409,0.976,0.991
,,comparative,difficult,isomap,2000,6,0.401,0.973,0.991
,,comparative,difficult,isomap,2000,7,0.39,0.972,0.99
,,comparative,difficult,isomap,2000,8,0.404,0.973,0.99
,,comparative,difficult,isomap,2000,9,0.378,0.972,0.989
,,comparative,difficult,isomap,2000,10,0.378,0.971,0.989
,,comparative,difficult,isomap,2000,12,0.414,0.982,0.988
,,comparative,difficult,isomap,2000,11,0.377,0.971,0.989
,,comparative,difficult,isomap,2000,13,0.401,0.984,0.993
,,comparative,difficult,isomap,2000,14,0.397,0.987,0.994
,,comparative,difficult,isomap,2000,15,0.395,0.987,0.994
,,comparative,orl,hlle,2000,6,0.163,0.955,0.972
,,comparative,orl,hlle,2000,15,0.105,0.943,0.94
,,comparative,orl,hlle,2000,13,0.102,0.95,0.946
,,comparative,orl,hlle,2000,12,0.107,0.952,0.948
,,comparative,orl,hlle,2000,5,0.19,0.952,0.969
,,comparative,orl,hlle,2000,10,0.113,0.952,0.952
,,comparative,orl,hlle,2000,7,0.15,0.949,0.969
,,comparative,orl,hlle,2000,11,0.115,0.953,0.948
,,comparative,orl,hlle,2000,8,0.155,0.95,0.963
,,comparative,orl,hlle,2000,14,0.11,0.949,0.944
,,comparative,orl,hlle,2000,9,0.158,0.944,0.949
,,comparative,orl,hlle,2000,6,0.163,0.955,0.972
,,comparative,orl,hlle,2000,15,0.105,0.943,0.94
,,comparative,orl,hlle,2000,13,0.102,0.95,0.946
,,comparative,orl,hlle,2000,12,0.107,0.952,0.948
,,comparative,orl,hlle,2000,5,0.19,0.952,0.969
,,comparative,orl,hlle,2000,10,0.113,0.952,0.952
